Best parameters for basis STO-3G, N=10: {'xgb__max_depth': 15, 'xgb__n_estimators': 200, 'xgb__reg_alpha': 0.001, 'xgb__reg_lambda': 0.1}
Best parameters for basis STO-3G, N=20: {'xgb__max_depth': 10, 'xgb__n_estimators': 400, 'xgb__reg_alpha': 1e-06, 'xgb__reg_lambda': 0.001}
Best parameters for basis STO-3G, N=40: {'xgb__max_depth': 10, 'xgb__n_estimators': 500, 'xgb__reg_alpha': 1e-06, 'xgb__reg_lambda': 1e-06}
Best parameters for basis STO-3G, N=60: {'xgb__max_depth': 10, 'xgb__n_estimators': 500, 'xgb__reg_alpha': 1e-06, 'xgb__reg_lambda': 1e-06}
Best parameters for basis STO-3G, N=80: {'xgb__max_depth': 15, 'xgb__n_estimators': 500, 'xgb__reg_alpha': 1e-06, 'xgb__reg_lambda': 1e-06}
Best parameters for basis STO-3G, N=100: {'xgb__max_depth': 15, 'xgb__n_estimators': 400, 'xgb__reg_alpha': 1e-06, 'xgb__reg_lambda': 1e-06}
Best parameters for basis cc-pVDZ, N=10: {'xgb__max_depth': 20, 'xgb__n_estimators': 400, 'xgb__reg_alpha': 1e-06, 'xgb__reg_lambda': 0.001}
Best parameters for basis cc-pVDZ, N=20: {'xgb__max_depth': 20, 'xgb__n_estimators': 400, 'xgb__reg_alpha': 1e-06, 'xgb__reg_lambda': 0.001}
Best parameters for basis cc-pVDZ, N=40: {'xgb__max_depth': 20, 'xgb__n_estimators': 500, 'xgb__reg_alpha': 1e-06, 'xgb__reg_lambda': 1e-06}
Best parameters for basis cc-pVDZ, N=60: {'xgb__max_depth': 20, 'xgb__n_estimators': 500, 'xgb__reg_alpha': 1e-06, 'xgb__reg_lambda': 0.001}
Best parameters for basis cc-pVDZ, N=80: {'xgb__max_depth': 20, 'xgb__n_estimators': 400, 'xgb__reg_alpha': 1e-06, 'xgb__reg_lambda': 1e-06}
Best parameters for basis cc-pVDZ, N=100: {'xgb__max_depth': 20, 'xgb__n_estimators': 400, 'xgb__reg_alpha': 1e-06, 'xgb__reg_lambda': 1e-06}
Best parameters for basis aug-cc-pVDZ, N=10: {'xgb__max_depth': 20, 'xgb__n_estimators': 500, 'xgb__reg_alpha': 1e-06, 'xgb__reg_lambda': 0.001}
Best parameters for basis aug-cc-pVDZ, N=20: {'xgb__max_depth': 20, 'xgb__n_estimators': 500, 'xgb__reg_alpha': 1e-06, 'xgb__reg_lambda': 0.001}
Best parameters for basis aug-cc-pVDZ, N=40: {'xgb__max_depth': 20, 'xgb__n_estimators': 500, 'xgb__reg_alpha': 1e-06, 'xgb__reg_lambda': 1e-06}
Best parameters for basis aug-cc-pVDZ, N=60: {'xgb__max_depth': 20, 'xgb__n_estimators': 500, 'xgb__reg_alpha': 1e-06, 'xgb__reg_lambda': 1e-06}
Best parameters for basis aug-cc-pVDZ, N=80: {'xgb__max_depth': 20, 'xgb__n_estimators': 500, 'xgb__reg_alpha': 1e-06, 'xgb__reg_lambda': 0.001}
Best parameters for basis aug-cc-pVDZ, N=100: {'xgb__max_depth': 20, 'xgb__n_estimators': 500, 'xgb__reg_alpha': 1e-06, 'xgb__reg_lambda': 0.001}
