basis,molecule,mol_file,n_frozen,num_orbitals,n_electrons,init_method,job_id,e_diff,occ_data
STO-3G,NH3,ammonia157.xyz,0,8,10,exact,d3822o4genls73cef7l0,"[np.float64(7.958078640513122e-13), np.float64(7.958078640513122e-13), np.float64(7.958078640513122e-13), np.float64(7.958078640513122e-13), np.float64(7.958078640513122e-13), np.float64(7.958078640513122e-13), np.float64(7.958078640513122e-13), np.float64(7.958078640513122e-13), np.float64(7.958078640513122e-13), np.float64(7.958078640513122e-13)]","[1.99998861 1.98754637 1.97597981 1.97588155 1.99155404 0.02202308
 0.02362736 0.02339917]"
STO-3G,NH3,ammonia157.xyz,0,8,10,rand,d3830gcda4cs73a9f00g,"[np.float64(9.094947017729282e-13), np.float64(9.094947017729282e-13), np.float64(9.094947017729282e-13), np.float64(9.094947017729282e-13), np.float64(9.094947017729282e-13), np.float64(9.094947017729282e-13), np.float64(9.094947017729282e-13), np.float64(9.094947017729282e-13), np.float64(9.094947017729282e-13), np.float64(9.094947017729282e-13)]","[1.99998861 1.98754637 1.97597981 1.97588155 1.99155404 0.02202308
 0.02362736 0.02339917]"
STO-3G,NH3,ammonia157.xyz,0,8,10,zeros,d383am8itjus73f6rfkg,"[np.float64(0.06429054075402973), np.float64(0.06429054075402973), np.float64(0.06429054075402973), np.float64(0.06429054075402973), np.float64(0.06429054075402973), np.float64(0.06429054075402973), np.float64(0.06429054075402973), np.float64(0.06429054075402973), np.float64(0.06429054075402973), np.float64(0.06429054075402973)]","[2.00000000e+00 2.00000000e+00 2.00000000e+00 2.00000000e+00
 1.99804935e+00 0.00000000e+00 0.00000000e+00 1.95065418e-03]"
STO-3G,NH3,ammonia157.xyz,0,8,10,zeros,d38c2doitjus73f73sbg,"[np.float64(0.064743669391234), np.float64(0.064743669391234), np.float64(0.064743669391234), np.float64(0.064743669391234), np.float64(0.064743669391234), np.float64(0.064743669391234), np.float64(0.064743669391234), np.float64(0.064743669391234), np.float64(0.064743669391234), np.float64(0.064743669391234)]","[2.00000000e+00 2.00000000e+00 2.00000000e+00 2.00000000e+00
 1.99875438e+00 1.24562430e-03 0.00000000e+00 0.00000000e+00]"
