JobID,System_Name,Error_Type,State,CPU_Efficiency,Mem_Efficiency,Wallclock
12736716,but-1-yne_LUCJ_L1_aug-cc-pVDZ_ML_exact,None,COMPLETED,8.52%,10.43%,time:
12736717,but-1-yne_LUCJ_L1_aug-cc-pVDZ_random,None,COMPLETED,30.84%,44.88%,time:
12736718,but-1-yne_LUCJ_L1_cc-pVDZ_CCSD,Setup_Only/Incomplete,FAILED,1.79%,2.93%,time:
12736719,but-1-yne_LUCJ_L1_cc-pVDZ_ML_exact,Setup_Only/Incomplete,FAILED,1.99%,2.93%,time:
12736720,but-1-yne_LUCJ_L1_cc-pVDZ_ML,Setup_Only/Incomplete,FAILED,1.98%,2.93%,time:
12736721,but-1-yne_LUCJ_L1_cc-pVDZ_MP2,Setup_Only/Incomplete,FAILED,2.24%,2.36%,time:
12736722,but-1-yne_LUCJ_L1_cc-pVDZ_random,Setup_Only/Incomplete,FAILED,1.80%,2.96%,time:
12736723,but-1-yne_LUCJ_L1_cc-pVDZ_zeroes,Setup_Only/Incomplete,FAILED,1.88%,2.17%,time:
12736724,but-1-yne_LUCJ_L1_STO-3G_CCSD,Setup_Only/Incomplete,FAILED,1.88%,2.82%,time:
12736725,but-1-yne_LUCJ_L1_STO-3G_ML_exact,Setup_Only/Incomplete,FAILED,2.19%,2.14%,time:
12736726,but-1-yne_LUCJ_L1_STO-3G_ML,Setup_Only/Incomplete,FAILED,2.17%,2.14%,time:
12736727,but-1-yne_LUCJ_L1_STO-3G_MP2,Setup_Only/Incomplete,FAILED,2.38%,2.14%,time:
12736728,but-1-yne_LUCJ_L1_STO-3G_random,Setup_Only/Incomplete,FAILED,1.86%,2.82%,time:
12736729,but-1-yne_LUCJ_L1_STO-3G_zeroes,Setup_Only/Incomplete,FAILED,2.16%,2.14%,time:
12736730,but-1-yne_LUCJ_L2_aug-cc-pVDZ_ML,Setup_Only/Incomplete,FAILED,2.08%,2.54%,time:
12736731,but-1-yne_LUCJ_L2_aug-cc-pVDZ_random,Setup_Only/Incomplete,FAILED,1.84%,3.20%,time:
12736732,but-1-yne_LUCJ_L2_cc-pVDZ_CCSD,Setup_Only/Incomplete,FAILED,2.08%,2.25%,time:
12736733,but-1-yne_LUCJ_L2_cc-pVDZ_ML_exact,Setup_Only/Incomplete,FAILED,1.86%,2.92%,time:
12736734,but-1-yne_LUCJ_L2_cc-pVDZ_ML,Setup_Only/Incomplete,FAILED,2.12%,2.94%,time:
12736735,but-1-yne_LUCJ_L2_cc-pVDZ_MP2,Setup_Only/Incomplete,FAILED,1.99%,2.93%,time:
12736736,but-1-yne_LUCJ_L2_cc-pVDZ_random,Setup_Only/Incomplete,FAILED,1.83%,2.95%,time:
12736737,but-1-yne_LUCJ_L2_cc-pVDZ_zeroes,Setup_Only/Incomplete,FAILED,2.33%,2.26%,time:
12736738,but-1-yne_LUCJ_L2_STO-3G_CCSD,Setup_Only/Incomplete,FAILED,2.28%,2.14%,time:
12736739,but-1-yne_LUCJ_L2_STO-3G_ML_exact,Setup_Only/Incomplete,FAILED,2.41%,2.14%,time:
12736740,but-1-yne_LUCJ_L2_STO-3G_ML,Setup_Only/Incomplete,FAILED,2.18%,2.80%,time:
12736741,but-1-yne_LUCJ_L2_STO-3G_MP2,Setup_Only/Incomplete,FAILED,1.90%,2.83%,time:
12736742,but-1-yne_LUCJ_L2_STO-3G_random,Setup_Only/Incomplete,FAILED,2.28%,2.27%,time:
12736743,but-1-yne_LUCJ_L2_STO-3G_zeroes,Setup_Only/Incomplete,FAILED,2.28%,2.15%,time:
12736744,but-1-yne_LUCJ_L3_aug-cc-pVDZ_ML_exact,Setup_Only/Incomplete,FAILED,2.27%,2.61%,time:
12736745,but-1-yne_LUCJ_L3_aug-cc-pVDZ_MP2,Setup_Only/Incomplete,FAILED,2.34%,2.54%,time:
12736746,but-1-yne_LUCJ_L3_aug-cc-pVDZ_random,Setup_Only/Incomplete,FAILED,2.30%,2.54%,time:
12736747,but-1-yne_LUCJ_L3_cc-pVDZ_CCSD,Setup_Only/Incomplete,FAILED,1.95%,2.96%,time:
12736748,but-1-yne_LUCJ_L3_cc-pVDZ_ML_exact,Setup_Only/Incomplete,FAILED,2.26%,2.26%,time:
12736749,but-1-yne_LUCJ_L3_cc-pVDZ_ML,Setup_Only/Incomplete,FAILED,2.22%,2.26%,time:
12736750,but-1-yne_LUCJ_L3_cc-pVDZ_MP2,Setup_Only/Incomplete,FAILED,2.28%,2.26%,time:
12736751,but-1-yne_LUCJ_L3_cc-pVDZ_random,Setup_Only/Incomplete,FAILED,2.16%,2.93%,time:
12736752,but-1-yne_LUCJ_L3_cc-pVDZ_zeroes,Setup_Only/Incomplete,FAILED,2.28%,2.26%,time:
12736753,but-1-yne_LUCJ_L3_STO-3G_CCSD,Setup_Only/Incomplete,FAILED,2.18%,2.14%,time:
12736754,but-1-yne_LUCJ_L3_STO-3G_ML_exact,Setup_Only/Incomplete,FAILED,2.10%,2.15%,time:
12736755,but-1-yne_LUCJ_L3_STO-3G_ML,Setup_Only/Incomplete,FAILED,2.14%,2.14%,time:
12736756,but-1-yne_LUCJ_L3_STO-3G_MP2,Setup_Only/Incomplete,FAILED,2.10%,2.83%,time:
12736757,but-1-yne_LUCJ_L3_STO-3G_random,Setup_Only/Incomplete,FAILED,2.16%,2.14%,time:
12736758,but-1-yne_LUCJ_L3_STO-3G_zeroes,Setup_Only/Incomplete,FAILED,2.12%,2.14%,time:
12736759,but-1-yne_LUCJ_L4_aug-cc-pVDZ_CCSD,Setup_Only/Incomplete,FAILED,2.18%,2.54%,time:
12736760,but-1-yne_LUCJ_L4_aug-cc-pVDZ_random,Setup_Only/Incomplete,FAILED,2.14%,2.54%,time:
12736761,but-1-yne_LUCJ_L4_cc-pVDZ_CCSD,Setup_Only/Incomplete,FAILED,2.27%,2.21%,time:
12736762,but-1-yne_LUCJ_L4_cc-pVDZ_ML_exact,Setup_Only/Incomplete,FAILED,2.23%,2.26%,time:
12736763,but-1-yne_LUCJ_L4_cc-pVDZ_ML,Setup_Only/Incomplete,FAILED,2.12%,2.21%,time:
12736764,but-1-yne_LUCJ_L4_cc-pVDZ_MP2,Setup_Only/Incomplete,FAILED,2.20%,2.21%,time:
12736765,but-1-yne_LUCJ_L4_cc-pVDZ_random,Setup_Only/Incomplete,FAILED,2.07%,2.93%,time:
12736766,but-1-yne_LUCJ_L4_cc-pVDZ_zeroes,Setup_Only/Incomplete,FAILED,2.36%,2.22%,time:
12736767,but-1-yne_LUCJ_L4_STO-3G_CCSD,Setup_Only/Incomplete,FAILED,2.42%,2.15%,time:
12736768,but-1-yne_LUCJ_L4_STO-3G_ML_exact,Setup_Only/Incomplete,FAILED,2.19%,2.14%,time:
12736769,but-1-yne_LUCJ_L4_STO-3G_ML,Setup_Only/Incomplete,FAILED,2.03%,2.14%,time:
12736770,but-1-yne_LUCJ_L4_STO-3G_MP2,Setup_Only/Incomplete,FAILED,2.16%,2.14%,time:
12736771,but-1-yne_LUCJ_L4_STO-3G_random,Setup_Only/Incomplete,FAILED,2.18%,2.14%,time:
12736772,,Setup_Only/Incomplete,FAILED,1.62%,0.51%,time:
12736773,but-1-yne_LUCJ_L5_aug-cc-pVDZ_ML_exact,Setup_Only/Incomplete,FAILED,2.14%,2.54%,time:
12736774,but-1-yne_LUCJ_L5_aug-cc-pVDZ_MP2,Setup_Only/Incomplete,FAILED,2.21%,2.79%,time:
12736775,but-1-yne_LUCJ_L5_cc-pVDZ_CCSD,Setup_Only/Incomplete,FAILED,2.08%,2.68%,time:
12736776,,Setup_Only/Incomplete,FAILED,2.04%,2.62%,time:
12736778,but-1-yne_LUCJ_L5_cc-pVDZ_ML,Setup_Only/Incomplete,FAILED,2.03%,2.86%,time:
12736779,but-1-yne_LUCJ_L5_cc-pVDZ_MP2,Setup_Only/Incomplete,FAILED,2.10%,2.29%,time:
12736780,but-1-yne_LUCJ_L5_cc-pVDZ_random,Setup_Only/Incomplete,FAILED,2.23%,2.22%,time:
12736781,but-1-yne_LUCJ_L5_cc-pVDZ_zeroes,Setup_Only/Incomplete,FAILED,2.05%,2.21%,time:
12736782,but-1-yne_LUCJ_L5_STO-3G_CCSD,Setup_Only/Incomplete,FAILED,2.27%,2.15%,time:
12736783,but-1-yne_LUCJ_L5_STO-3G_ML_exact,Setup_Only/Incomplete,FAILED,2.18%,2.15%,time:
12736784,but-1-yne_LUCJ_L5_STO-3G_ML,Setup_Only/Incomplete,FAILED,2.24%,2.24%,time:
12736785,but-1-yne_LUCJ_L5_STO-3G_MP2,Setup_Only/Incomplete,FAILED,2.20%,2.15%,time:
12736786,but-1-yne_LUCJ_L5_STO-3G_random,Setup_Only/Incomplete,FAILED,2.24%,2.14%,time:
12736787,but-1-yne_LUCJ_L5_STO-3G_zeroes,Setup_Only/Incomplete,FAILED,2.08%,2.14%,time:
12736788,buta-1,3-diene_LUCJ_L1_aug-cc-pVDZ_ML,Setup_Only/Incomplete,FAILED,2.30%,2.54%,time:
12736789,buta-1,3-diene_LUCJ_L1_aug-cc-pVDZ_MP2,Setup_Only/Incomplete,FAILED,2.42%,2.37%,time:
12736790,buta-1,3-diene_LUCJ_L1_aug-cc-pVDZ_random,Setup_Only/Incomplete,FAILED,1.87%,3.24%,time:
12736791,buta-1,3-diene_LUCJ_L1_cc-pVDZ_CCSD,Setup_Only/Incomplete,FAILED,2.08%,2.27%,time:
12736792,buta-1,3-diene_LUCJ_L1_cc-pVDZ_ML_exact,Setup_Only/Incomplete,FAILED,1.86%,2.94%,time:
12736793,buta-1,3-diene_LUCJ_L1_cc-pVDZ_ML,Setup_Only/Incomplete,FAILED,2.18%,2.96%,time:
12736794,buta-1,3-diene_LUCJ_L1_cc-pVDZ_MP2,Setup_Only/Incomplete,FAILED,2.23%,2.94%,time:
12736795,buta-1,3-diene_LUCJ_L1_cc-pVDZ_random,Setup_Only/Incomplete,FAILED,1.88%,2.92%,time:
12736796,buta-1,3-diene_LUCJ_L1_cc-pVDZ_zeroes,Setup_Only/Incomplete,FAILED,2.27%,2.26%,time:
12736797,buta-1,3-diene_LUCJ_L1_STO-3G_CCSD,Setup_Only/Incomplete,FAILED,2.26%,2.83%,time:
12736798,buta-1,3-diene_LUCJ_L1_STO-3G_ML_exact,Setup_Only/Incomplete,FAILED,2.27%,2.14%,time:
12736799,buta-1,3-diene_LUCJ_L1_STO-3G_ML,Setup_Only/Incomplete,FAILED,2.27%,2.14%,time:
12736800,buta-1,3-diene_LUCJ_L1_STO-3G_MP2,Setup_Only/Incomplete,FAILED,2.28%,2.14%,time:
12736801,buta-1,3-diene_LUCJ_L1_STO-3G_random,Setup_Only/Incomplete,FAILED,2.28%,2.14%,time:
12736802,buta-1,3-diene_LUCJ_L1_STO-3G_zeroes,Setup_Only/Incomplete,FAILED,2.07%,2.14%,time:
12736803,buta-1,3-diene_LUCJ_L2_aug-cc-pVDZ_CCSD,Setup_Only/Incomplete,FAILED,2.31%,2.54%,time:
12736804,buta-1,3-diene_LUCJ_L2_aug-cc-pVDZ_ML_exact,Setup_Only/Incomplete,FAILED,2.27%,2.37%,time:
12736805,buta-1,3-diene_LUCJ_L2_aug-cc-pVDZ_ML,Setup_Only/Incomplete,FAILED,2.19%,2.54%,time:
12736806,buta-1,3-diene_LUCJ_L2_aug-cc-pVDZ_MP2,Setup_Only/Incomplete,FAILED,1.86%,3.03%,time:
12736807,buta-1,3-diene_LUCJ_L2_aug-cc-pVDZ_random,Setup_Only/Incomplete,FAILED,2.28%,2.54%,time:
12736808,buta-1,3-diene_LUCJ_L2_cc-pVDZ_CCSD,Setup_Only/Incomplete,FAILED,2.29%,2.26%,time:
12736809,buta-1,3-diene_LUCJ_L2_cc-pVDZ_ML_exact,Setup_Only/Incomplete,FAILED,2.16%,2.26%,time:
12736810,buta-1,3-diene_LUCJ_L2_cc-pVDZ_ML,Setup_Only/Incomplete,FAILED,1.92%,2.95%,time:
12736811,buta-1,3-diene_LUCJ_L2_cc-pVDZ_MP2,Setup_Only/Incomplete,FAILED,2.27%,2.26%,time:
12736812,buta-1,3-diene_LUCJ_L2_cc-pVDZ_random,Setup_Only/Incomplete,FAILED,2.31%,2.26%,time:
12736813,buta-1,3-diene_LUCJ_L2_cc-pVDZ_zeroes,Setup_Only/Incomplete,FAILED,2.38%,2.27%,time:
12736814,buta-1,3-diene_LUCJ_L2_STO-3G_CCSD,Setup_Only/Incomplete,FAILED,2.46%,2.15%,time:
12736815,buta-1,3-diene_LUCJ_L2_STO-3G_ML_exact,Setup_Only/Incomplete,FAILED,2.46%,2.15%,time:
12736816,buta-1,3-diene_LUCJ_L2_STO-3G_ML,Setup_Only/Incomplete,FAILED,2.25%,2.14%,time:
12736817,buta-1,3-diene_LUCJ_L2_STO-3G_MP2,Setup_Only/Incomplete,FAILED,2.30%,2.15%,time:
12736818,buta-1,3-diene_LUCJ_L2_STO-3G_random,Setup_Only/Incomplete,FAILED,2.14%,2.34%,time:
12736819,buta-1,3-diene_LUCJ_L2_STO-3G_zeroes,Setup_Only/Incomplete,FAILED,2.03%,2.65%,time:
12736820,buta-1,3-diene_LUCJ_L3_aug-cc-pVDZ_CCSD,Setup_Only/Incomplete,FAILED,2.40%,2.37%,time:
12736821,buta-1,3-diene_LUCJ_L3_aug-cc-pVDZ_ML_exact,Setup_Only/Incomplete,FAILED,1.94%,3.22%,time:
12736822,buta-1,3-diene_LUCJ_L3_aug-cc-pVDZ_ML,Setup_Only/Incomplete,FAILED,2.28%,2.54%,time:
12736823,buta-1,3-diene_LUCJ_L3_aug-cc-pVDZ_MP2,Setup_Only/Incomplete,FAILED,3.12%,2.37%,time:
12736824,buta-1,3-diene_LUCJ_L3_aug-cc-pVDZ_random,Setup_Only/Incomplete,FAILED,3.26%,2.37%,time:
12736825,buta-1,3-diene_LUCJ_L3_cc-pVDZ_CCSD,Setup_Only/Incomplete,FAILED,3.19%,2.20%,time:
12736826,buta-1,3-diene_LUCJ_L3_cc-pVDZ_ML_exact,Setup_Only/Incomplete,FAILED,2.30%,2.26%,time:
12736827,buta-1,3-diene_LUCJ_L3_cc-pVDZ_ML,Setup_Only/Incomplete,FAILED,2.33%,2.21%,time:
12736828,buta-1,3-diene_LUCJ_L3_cc-pVDZ_MP2,Setup_Only/Incomplete,FAILED,2.68%,2.21%,time:
12736829,buta-1,3-diene_LUCJ_L3_cc-pVDZ_random,Setup_Only/Incomplete,FAILED,2.34%,2.25%,time:
12736830,buta-1,3-diene_LUCJ_L3_cc-pVDZ_zeroes,Setup_Only/Incomplete,FAILED,2.31%,2.21%,time:
12736831,buta-1,3-diene_LUCJ_L3_STO-3G_CCSD,Setup_Only/Incomplete,FAILED,2.30%,2.14%,time:
12736832,buta-1,3-diene_LUCJ_L3_STO-3G_ML_exact,Setup_Only/Incomplete,FAILED,2.36%,2.15%,time:
12736833,buta-1,3-diene_LUCJ_L3_STO-3G_ML,Setup_Only/Incomplete,FAILED,2.33%,2.15%,time:
12736834,buta-1,3-diene_LUCJ_L3_STO-3G_MP2,Setup_Only/Incomplete,FAILED,2.36%,2.16%,time:
12736835,buta-1,3-diene_LUCJ_L3_STO-3G_random,Setup_Only/Incomplete,FAILED,1.84%,2.82%,time:
12736836,buta-1,3-diene_LUCJ_L3_STO-3G_zeroes,Setup_Only/Incomplete,FAILED,1.97%,2.82%,time:
12736837,buta-1,3-diene_LUCJ_L4_aug-cc-pVDZ_CCSD,Setup_Only/Incomplete,FAILED,2.42%,2.57%,time:
12736838,buta-1,3-diene_LUCJ_L4_aug-cc-pVDZ_ML_exact,Setup_Only/Incomplete,FAILED,2.42%,2.40%,time:
12736839,buta-1,3-diene_LUCJ_L4_aug-cc-pVDZ_ML,Setup_Only/Incomplete,FAILED,1.86%,3.24%,time:
12736840,buta-1,3-diene_LUCJ_L4_aug-cc-pVDZ_MP2,Setup_Only/Incomplete,FAILED,2.48%,2.62%,time:
12736841,buta-1,3-diene_LUCJ_L4_aug-cc-pVDZ_random,Setup_Only/Incomplete,FAILED,2.42%,2.45%,time:
12736842,buta-1,3-diene_LUCJ_L4_cc-pVDZ_CCSD,Setup_Only/Incomplete,FAILED,2.16%,2.26%,time:
12736843,buta-1,3-diene_LUCJ_L4_cc-pVDZ_ML_exact,Setup_Only/Incomplete,FAILED,2.29%,2.21%,time:
12736844,buta-1,3-diene_LUCJ_L4_cc-pVDZ_ML,Setup_Only/Incomplete,FAILED,2.16%,2.27%,time:
12736845,buta-1,3-diene_LUCJ_L4_cc-pVDZ_MP2,Setup_Only/Incomplete,FAILED,2.24%,2.26%,time:
12736846,buta-1,3-diene_LUCJ_L4_cc-pVDZ_random,Setup_Only/Incomplete,FAILED,1.80%,2.96%,time:
12736847,buta-1,3-diene_LUCJ_L4_cc-pVDZ_zeroes,Setup_Only/Incomplete,FAILED,2.12%,2.90%,time:
12736848,buta-1,3-diene_LUCJ_L4_STO-3G_CCSD,Setup_Only/Incomplete,FAILED,1.80%,2.84%,time:
12736849,buta-1,3-diene_LUCJ_L4_STO-3G_ML_exact,Setup_Only/Incomplete,FAILED,1.95%,2.40%,time:
12736850,buta-1,3-diene_LUCJ_L4_STO-3G_ML,Setup_Only/Incomplete,FAILED,1.84%,2.60%,time:
12736851,buta-1,3-diene_LUCJ_L4_STO-3G_MP2,Setup_Only/Incomplete,FAILED,1.70%,2.81%,time:
12736852,buta-1,3-diene_LUCJ_L4_STO-3G_random,Setup_Only/Incomplete,FAILED,2.08%,2.15%,time:
12736853,buta-1,3-diene_LUCJ_L4_STO-3G_zeroes,Setup_Only/Incomplete,FAILED,2.24%,2.15%,time:
