filename,molecule,ansatz,layers,basis,init,n_qubits,norb,n_alpha_target,n_beta_target,n_unique_strings,n_correct_strings,frac_correct_strings,prob_mass_correct,prob_mass_1e_neighbor
(Z)-1-fluoroprop-1-ene_LUCJ_L1_STO-3G_CCSD.npz,(Z)-1-fluoroprop-1-ene,LUCJ,1,STO-3G,CCSD,50,25,16,16,10000,133,0.0133,0.013300000000000003,0.052400000000000016
(Z)-1-fluoroprop-1-ene_LUCJ_L1_STO-3G_ML.npz,(Z)-1-fluoroprop-1-ene,LUCJ,1,STO-3G,ML,50,25,16,16,10000,86,0.0086,0.008599999999999998,0.03610000000000001
(Z)-1-fluoroprop-1-ene_LUCJ_L1_STO-3G_ML_exact.npz,(Z)-1-fluoroprop-1-ene,LUCJ,1,STO-3G,ML_exact,50,25,16,16,10000,99,0.0099,0.0099,0.04160000000000001
(Z)-1-fluoroprop-1-ene_LUCJ_L1_STO-3G_MP2.npz,(Z)-1-fluoroprop-1-ene,LUCJ,1,STO-3G,MP2,50,25,16,16,10000,38,0.0038,0.003799999999999999,0.019200000000000005
(Z)-1-fluoroprop-1-ene_LUCJ_L1_STO-3G_random.npz,(Z)-1-fluoroprop-1-ene,LUCJ,1,STO-3G,random,50,25,16,16,10000,80,0.008,0.008000000000000002,0.040600000000000004
(Z)-1-fluoroprop-1-ene_LUCJ_L1_STO-3G_zeroes.npz,(Z)-1-fluoroprop-1-ene,LUCJ,1,STO-3G,zeroes,50,25,16,16,9998,114,0.011402280456091218,0.011400000000000002,0.056200000000000014
(Z)-1-fluoroprop-1-ene_LUCJ_L1_aug-cc-pVDZ_CCSD.npz,(Z)-1-fluoroprop-1-ene,LUCJ,1,aug-cc-pVDZ,CCSD,50,25,16,16,10000,71,0.0071,0.007100000000000003,0.031900000000000005
(Z)-1-fluoroprop-1-ene_LUCJ_L1_aug-cc-pVDZ_ML.npz,(Z)-1-fluoroprop-1-ene,LUCJ,1,aug-cc-pVDZ,ML,50,25,16,16,10000,100,0.01,0.01,0.03530000000000001
(Z)-1-fluoroprop-1-ene_LUCJ_L1_aug-cc-pVDZ_ML_exact.npz,(Z)-1-fluoroprop-1-ene,LUCJ,1,aug-cc-pVDZ,ML_exact,50,25,16,16,10000,85,0.0085,0.008499999999999999,0.03520000000000001
(Z)-1-fluoroprop-1-ene_LUCJ_L1_aug-cc-pVDZ_MP2.npz,(Z)-1-fluoroprop-1-ene,LUCJ,1,aug-cc-pVDZ,MP2,50,25,16,16,10000,77,0.0077,0.007700000000000003,0.030200000000000005
(Z)-1-fluoroprop-1-ene_LUCJ_L1_aug-cc-pVDZ_random.npz,(Z)-1-fluoroprop-1-ene,LUCJ,1,aug-cc-pVDZ,random,50,25,16,16,10000,95,0.0095,0.009499999999999998,0.03830000000000001
(Z)-1-fluoroprop-1-ene_LUCJ_L1_aug-cc-pVDZ_zeroes.npz,(Z)-1-fluoroprop-1-ene,LUCJ,1,aug-cc-pVDZ,zeroes,50,25,16,16,9998,153,0.015303060612122424,0.015300000000000003,0.05440000000000001
(Z)-1-fluoroprop-1-ene_LUCJ_L1_cc-pVDZ_CCSD.npz,(Z)-1-fluoroprop-1-ene,LUCJ,1,cc-pVDZ,CCSD,50,25,16,16,10000,43,0.0043,0.004300000000000001,0.021700000000000004
(Z)-1-fluoroprop-1-ene_LUCJ_L1_cc-pVDZ_ML.npz,(Z)-1-fluoroprop-1-ene,LUCJ,1,cc-pVDZ,ML,50,25,16,16,10000,62,0.0062,0.006200000000000002,0.023500000000000007
(Z)-1-fluoroprop-1-ene_LUCJ_L1_cc-pVDZ_ML_exact.npz,(Z)-1-fluoroprop-1-ene,LUCJ,1,cc-pVDZ,ML_exact,50,25,16,16,10000,53,0.0053,0.005300000000000002,0.026800000000000008
(Z)-1-fluoroprop-1-ene_LUCJ_L1_cc-pVDZ_MP2.npz,(Z)-1-fluoroprop-1-ene,LUCJ,1,cc-pVDZ,MP2,50,25,16,16,10000,56,0.0056,0.005600000000000001,0.02480000000000001
(Z)-1-fluoroprop-1-ene_LUCJ_L1_cc-pVDZ_random.npz,(Z)-1-fluoroprop-1-ene,LUCJ,1,cc-pVDZ,random,50,25,16,16,10000,74,0.0074,0.007400000000000002,0.038900000000000004
(Z)-1-fluoroprop-1-ene_LUCJ_L1_cc-pVDZ_zeroes.npz,(Z)-1-fluoroprop-1-ene,LUCJ,1,cc-pVDZ,zeroes,50,25,16,16,10000,155,0.0155,0.015500000000000002,0.059200000000000016
(Z)-1-fluoroprop-1-ene_LUCJ_L2_STO-3G_CCSD.npz,(Z)-1-fluoroprop-1-ene,LUCJ,2,STO-3G,CCSD,50,25,16,16,10000,62,0.0062,0.006200000000000002,0.024700000000000003
(Z)-1-fluoroprop-1-ene_LUCJ_L2_STO-3G_ML.npz,(Z)-1-fluoroprop-1-ene,LUCJ,2,STO-3G,ML,50,25,16,16,10000,63,0.0063,0.006300000000000003,0.026400000000000007
(Z)-1-fluoroprop-1-ene_LUCJ_L2_STO-3G_ML_exact.npz,(Z)-1-fluoroprop-1-ene,LUCJ,2,STO-3G,ML_exact,50,25,16,16,10000,72,0.0072,0.0072000000000000015,0.028500000000000004
(Z)-1-fluoroprop-1-ene_LUCJ_L2_STO-3G_MP2.npz,(Z)-1-fluoroprop-1-ene,LUCJ,2,STO-3G,MP2,50,25,16,16,10000,74,0.0074,0.007400000000000002,0.030400000000000007
(Z)-1-fluoroprop-1-ene_LUCJ_L2_STO-3G_random.npz,(Z)-1-fluoroprop-1-ene,LUCJ,2,STO-3G,random,50,25,16,16,10000,59,0.0059,0.005900000000000002,0.024900000000000005
