filename,molecule,ansatz,layers,basis,init,n_qubits,norb,n_alpha_target,n_beta_target,n_unique_strings,n_correct_strings,frac_correct_strings,prob_mass_correct,prob_mass_1e_neighbor
(Z)-1-fluoroprop-1-ene_LUCJ_L2_STO-3G_zeroes.npz,(Z)-1-fluoroprop-1-ene,LUCJ,2,STO-3G,zeroes,50,25,16,16,10000,121,0.0121,0.012100000000000003,0.05460000000000001
(Z)-1-fluoroprop-1-ene_LUCJ_L2_aug-cc-pVDZ_CCSD.npz,(Z)-1-fluoroprop-1-ene,LUCJ,2,aug-cc-pVDZ,CCSD,50,25,16,16,10000,80,0.008,0.008000000000000002,0.027400000000000008
(Z)-1-fluoroprop-1-ene_LUCJ_L2_aug-cc-pVDZ_ML.npz,(Z)-1-fluoroprop-1-ene,LUCJ,2,aug-cc-pVDZ,ML,50,25,16,16,10000,56,0.0056,0.005600000000000001,0.025100000000000008
(Z)-1-fluoroprop-1-ene_LUCJ_L2_aug-cc-pVDZ_ML_exact.npz,(Z)-1-fluoroprop-1-ene,LUCJ,2,aug-cc-pVDZ,ML_exact,50,25,16,16,10000,66,0.0066,0.006600000000000002,0.024300000000000006
(Z)-1-fluoroprop-1-ene_LUCJ_L2_aug-cc-pVDZ_MP2.npz,(Z)-1-fluoroprop-1-ene,LUCJ,2,aug-cc-pVDZ,MP2,50,25,16,16,10000,58,0.0058,0.005800000000000001,0.02650000000000001
(Z)-1-fluoroprop-1-ene_LUCJ_L2_aug-cc-pVDZ_random.npz,(Z)-1-fluoroprop-1-ene,LUCJ,2,aug-cc-pVDZ,random,50,25,16,16,10000,65,0.0065,0.0065000000000000014,0.024900000000000005
(Z)-1-fluoroprop-1-ene_LUCJ_L2_aug-cc-pVDZ_zeroes.npz,(Z)-1-fluoroprop-1-ene,LUCJ,2,aug-cc-pVDZ,zeroes,50,25,16,16,9999,129,0.012901290129012902,0.012900000000000002,0.053600000000000016
(Z)-1-fluoroprop-1-ene_LUCJ_L2_cc-pVDZ_CCSD.npz,(Z)-1-fluoroprop-1-ene,LUCJ,2,cc-pVDZ,CCSD,50,25,16,16,10000,74,0.0074,0.007400000000000002,0.024200000000000006
(Z)-1-fluoroprop-1-ene_LUCJ_L2_cc-pVDZ_ML.npz,(Z)-1-fluoroprop-1-ene,LUCJ,2,cc-pVDZ,ML,50,25,16,16,10000,54,0.0054,0.005400000000000002,0.025800000000000007
(Z)-1-fluoroprop-1-ene_LUCJ_L2_cc-pVDZ_ML_exact.npz,(Z)-1-fluoroprop-1-ene,LUCJ,2,cc-pVDZ,ML_exact,50,25,16,16,10000,52,0.0052,0.0052000000000000015,0.025800000000000007
(Z)-1-fluoroprop-1-ene_LUCJ_L2_cc-pVDZ_MP2.npz,(Z)-1-fluoroprop-1-ene,LUCJ,2,cc-pVDZ,MP2,50,25,16,16,10000,44,0.0044,0.004400000000000001,0.024300000000000006
(Z)-1-fluoroprop-1-ene_LUCJ_L2_cc-pVDZ_random.npz,(Z)-1-fluoroprop-1-ene,LUCJ,2,cc-pVDZ,random,50,25,16,16,10000,60,0.006,0.006000000000000002,0.025900000000000006
(Z)-1-fluoroprop-1-ene_LUCJ_L2_cc-pVDZ_zeroes.npz,(Z)-1-fluoroprop-1-ene,LUCJ,2,cc-pVDZ,zeroes,50,25,16,16,10000,128,0.0128,0.012800000000000004,0.06240000000000001
(Z)-1-fluoroprop-1-ene_LUCJ_L3_STO-3G_CCSD.npz,(Z)-1-fluoroprop-1-ene,LUCJ,3,STO-3G,CCSD,50,25,16,16,10000,46,0.0046,0.004600000000000002,0.024500000000000004
(Z)-1-fluoroprop-1-ene_LUCJ_L3_STO-3G_ML.npz,(Z)-1-fluoroprop-1-ene,LUCJ,3,STO-3G,ML,50,25,16,16,10000,49,0.0049,0.004900000000000001,0.02600000000000001
(Z)-1-fluoroprop-1-ene_LUCJ_L3_STO-3G_ML_exact.npz,(Z)-1-fluoroprop-1-ene,LUCJ,3,STO-3G,ML_exact,50,25,16,16,10000,62,0.0062,0.006200000000000002,0.02600000000000001
(Z)-1-fluoroprop-1-ene_LUCJ_L3_STO-3G_MP2.npz,(Z)-1-fluoroprop-1-ene,LUCJ,3,STO-3G,MP2,50,25,16,16,10000,58,0.0058,0.005800000000000001,0.024700000000000003
(Z)-1-fluoroprop-1-ene_LUCJ_L3_STO-3G_random.npz,(Z)-1-fluoroprop-1-ene,LUCJ,3,STO-3G,random,50,25,16,16,10000,48,0.0048,0.0048000000000000004,0.0238
(Z)-1-fluoroprop-1-ene_LUCJ_L3_STO-3G_zeroes.npz,(Z)-1-fluoroprop-1-ene,LUCJ,3,STO-3G,zeroes,50,25,16,16,9998,142,0.014202840568113623,0.014200000000000004,0.049000000000000016
(Z)-1-fluoroprop-1-ene_LUCJ_L3_aug-cc-pVDZ_CCSD.npz,(Z)-1-fluoroprop-1-ene,LUCJ,3,aug-cc-pVDZ,CCSD,50,25,16,16,10000,63,0.0063,0.006300000000000003,0.02700000000000001
(Z)-1-fluoroprop-1-ene_LUCJ_L3_aug-cc-pVDZ_ML.npz,(Z)-1-fluoroprop-1-ene,LUCJ,3,aug-cc-pVDZ,ML,50,25,16,16,10000,73,0.0073,0.007300000000000002,0.027200000000000005
(Z)-1-fluoroprop-1-ene_LUCJ_L3_aug-cc-pVDZ_ML_exact.npz,(Z)-1-fluoroprop-1-ene,LUCJ,3,aug-cc-pVDZ,ML_exact,50,25,16,16,10000,60,0.006,0.006000000000000002,0.025400000000000006
(Z)-1-fluoroprop-1-ene_LUCJ_L3_aug-cc-pVDZ_MP2.npz,(Z)-1-fluoroprop-1-ene,LUCJ,3,aug-cc-pVDZ,MP2,50,25,16,16,10000,63,0.0063,0.006300000000000003,0.02700000000000001
(Z)-1-fluoroprop-1-ene_LUCJ_L3_aug-cc-pVDZ_random.npz,(Z)-1-fluoroprop-1-ene,LUCJ,3,aug-cc-pVDZ,random,50,25,16,16,10000,64,0.0064,0.006400000000000001,0.02480000000000001
(Z)-1-fluoroprop-1-ene_LUCJ_L3_aug-cc-pVDZ_zeroes.npz,(Z)-1-fluoroprop-1-ene,LUCJ,3,aug-cc-pVDZ,zeroes,50,25,16,16,9994,159,0.015909545727436462,0.0161,0.059800000000000006
(Z)-1-fluoroprop-1-ene_LUCJ_L3_cc-pVDZ_CCSD.npz,(Z)-1-fluoroprop-1-ene,LUCJ,3,cc-pVDZ,CCSD,50,25,16,16,10000,65,0.0065,0.0065000000000000014,0.024100000000000007
(Z)-1-fluoroprop-1-ene_LUCJ_L3_cc-pVDZ_ML.npz,(Z)-1-fluoroprop-1-ene,LUCJ,3,cc-pVDZ,ML,50,25,16,16,10000,54,0.0054,0.005400000000000002,0.024700000000000003
(Z)-1-fluoroprop-1-ene_LUCJ_L3_cc-pVDZ_ML_exact.npz,(Z)-1-fluoroprop-1-ene,LUCJ,3,cc-pVDZ,ML_exact,50,25,16,16,10000,56,0.0056,0.005600000000000001,0.026600000000000006
(Z)-1-fluoroprop-1-ene_LUCJ_L3_cc-pVDZ_MP2.npz,(Z)-1-fluoroprop-1-ene,LUCJ,3,cc-pVDZ,MP2,50,25,16,16,10000,75,0.0075,0.007500000000000002,0.027600000000000006
(Z)-1-fluoroprop-1-ene_LUCJ_L3_cc-pVDZ_random.npz,(Z)-1-fluoroprop-1-ene,LUCJ,3,cc-pVDZ,random,50,25,16,16,10000,61,0.0061,0.006100000000000002,0.023200000000000005
(Z)-1-fluoroprop-1-ene_LUCJ_L3_cc-pVDZ_zeroes.npz,(Z)-1-fluoroprop-1-ene,LUCJ,3,cc-pVDZ,zeroes,50,25,16,16,9999,147,0.014701470147014702,0.014700000000000005,0.06140000000000001
(Z)-1-fluoroprop-1-ene_LUCJ_L4_STO-3G_CCSD.npz,(Z)-1-fluoroprop-1-ene,LUCJ,4,STO-3G,CCSD,50,25,16,16,10000,65,0.0065,0.0065000000000000014,0.031100000000000003
(Z)-1-fluoroprop-1-ene_LUCJ_L4_STO-3G_ML.npz,(Z)-1-fluoroprop-1-ene,LUCJ,4,STO-3G,ML,50,25,16,16,10000,54,0.0054,0.005400000000000002,0.027900000000000008
(Z)-1-fluoroprop-1-ene_LUCJ_L4_STO-3G_ML_exact.npz,(Z)-1-fluoroprop-1-ene,LUCJ,4,STO-3G,ML_exact,50,25,16,16,10000,59,0.0059,0.005900000000000002,0.025200000000000007
(Z)-1-fluoroprop-1-ene_LUCJ_L4_STO-3G_MP2.npz,(Z)-1-fluoroprop-1-ene,LUCJ,4,STO-3G,MP2,50,25,16,16,10000,60,0.006,0.006000000000000002,0.028100000000000007
(Z)-1-fluoroprop-1-ene_LUCJ_L4_STO-3G_random.npz,(Z)-1-fluoroprop-1-ene,LUCJ,4,STO-3G,random,50,25,16,16,10000,70,0.007,0.007000000000000003,0.026800000000000008
(Z)-1-fluoroprop-1-ene_LUCJ_L4_STO-3G_zeroes.npz,(Z)-1-fluoroprop-1-ene,LUCJ,4,STO-3G,zeroes,50,25,16,16,10000,136,0.0136,0.013600000000000003,0.05370000000000001
(Z)-1-fluoroprop-1-ene_LUCJ_L4_aug-cc-pVDZ_CCSD.npz,(Z)-1-fluoroprop-1-ene,LUCJ,4,aug-cc-pVDZ,CCSD,50,25,16,16,10000,61,0.0061,0.006100000000000002,0.026100000000000005
(Z)-1-fluoroprop-1-ene_LUCJ_L4_aug-cc-pVDZ_ML.npz,(Z)-1-fluoroprop-1-ene,LUCJ,4,aug-cc-pVDZ,ML,50,25,16,16,10000,80,0.008,0.008000000000000002,0.022700000000000005
(Z)-1-fluoroprop-1-ene_LUCJ_L4_aug-cc-pVDZ_ML_exact.npz,(Z)-1-fluoroprop-1-ene,LUCJ,4,aug-cc-pVDZ,ML_exact,50,25,16,16,10000,61,0.0061,0.006100000000000002,0.02840000000000001
(Z)-1-fluoroprop-1-ene_LUCJ_L4_aug-cc-pVDZ_MP2.npz,(Z)-1-fluoroprop-1-ene,LUCJ,4,aug-cc-pVDZ,MP2,50,25,16,16,10000,60,0.006,0.006000000000000002,0.02700000000000001
(Z)-1-fluoroprop-1-ene_LUCJ_L4_aug-cc-pVDZ_random.npz,(Z)-1-fluoroprop-1-ene,LUCJ,4,aug-cc-pVDZ,random,50,25,16,16,10000,67,0.0067,0.006700000000000002,0.023300000000000008
(Z)-1-fluoroprop-1-ene_LUCJ_L4_aug-cc-pVDZ_zeroes.npz,(Z)-1-fluoroprop-1-ene,LUCJ,4,aug-cc-pVDZ,zeroes,50,25,16,16,9998,122,0.01220244048809762,0.012200000000000003,0.052800000000000014
(Z)-1-fluoroprop-1-ene_LUCJ_L4_cc-pVDZ_CCSD.npz,(Z)-1-fluoroprop-1-ene,LUCJ,4,cc-pVDZ,CCSD,50,25,16,16,10000,53,0.0053,0.005300000000000002,0.02650000000000001
(Z)-1-fluoroprop-1-ene_LUCJ_L4_cc-pVDZ_ML.npz,(Z)-1-fluoroprop-1-ene,LUCJ,4,cc-pVDZ,ML,50,25,16,16,10000,76,0.0076,0.007600000000000003,0.026400000000000007
(Z)-1-fluoroprop-1-ene_LUCJ_L4_cc-pVDZ_ML_exact.npz,(Z)-1-fluoroprop-1-ene,LUCJ,4,cc-pVDZ,ML_exact,50,25,16,16,10000,51,0.0051,0.005100000000000001,0.02650000000000001
(Z)-1-fluoroprop-1-ene_LUCJ_L4_cc-pVDZ_MP2.npz,(Z)-1-fluoroprop-1-ene,LUCJ,4,cc-pVDZ,MP2,50,25,16,16,10000,79,0.0079,0.007900000000000003,0.029300000000000007
(Z)-1-fluoroprop-1-ene_LUCJ_L4_cc-pVDZ_random.npz,(Z)-1-fluoroprop-1-ene,LUCJ,4,cc-pVDZ,random,50,25,16,16,10000,58,0.0058,0.005800000000000001,0.02700000000000001
(Z)-1-fluoroprop-1-ene_LUCJ_L4_cc-pVDZ_zeroes.npz,(Z)-1-fluoroprop-1-ene,LUCJ,4,cc-pVDZ,zeroes,50,25,16,16,10000,131,0.0131,0.013100000000000004,0.058200000000000016
(Z)-1-fluoroprop-1-ene_LUCJ_L5_STO-3G_CCSD.npz,(Z)-1-fluoroprop-1-ene,LUCJ,5,STO-3G,CCSD,50,25,16,16,10000,78,0.0078,0.007800000000000003,0.0316
(Z)-1-fluoroprop-1-ene_LUCJ_L5_STO-3G_ML.npz,(Z)-1-fluoroprop-1-ene,LUCJ,5,STO-3G,ML,50,25,16,16,10000,74,0.0074,0.007400000000000002,0.032100000000000004
(Z)-1-fluoroprop-1-ene_LUCJ_L5_STO-3G_ML_exact.npz,(Z)-1-fluoroprop-1-ene,LUCJ,5,STO-3G,ML_exact,50,25,16,16,10000,65,0.0065,0.0065000000000000014,0.029700000000000004
(Z)-1-fluoroprop-1-ene_LUCJ_L5_STO-3G_MP2.npz,(Z)-1-fluoroprop-1-ene,LUCJ,5,STO-3G,MP2,50,25,16,16,10000,65,0.0065,0.0065000000000000014,0.026900000000000007
(Z)-1-fluoroprop-1-ene_LUCJ_L5_STO-3G_random.npz,(Z)-1-fluoroprop-1-ene,LUCJ,5,STO-3G,random,50,25,16,16,10000,58,0.0058,0.005800000000000001,0.027600000000000006
(Z)-1-fluoroprop-1-ene_LUCJ_L5_STO-3G_zeroes.npz,(Z)-1-fluoroprop-1-ene,LUCJ,5,STO-3G,zeroes,50,25,16,16,9999,129,0.012901290129012902,0.012900000000000002,0.05470000000000001
(Z)-1-fluoroprop-1-ene_LUCJ_L5_aug-cc-pVDZ_CCSD.npz,(Z)-1-fluoroprop-1-ene,LUCJ,5,aug-cc-pVDZ,CCSD,50,25,16,16,10000,86,0.0086,0.008599999999999998,0.029300000000000007
(Z)-1-fluoroprop-1-ene_LUCJ_L5_aug-cc-pVDZ_ML.npz,(Z)-1-fluoroprop-1-ene,LUCJ,5,aug-cc-pVDZ,ML,50,25,16,16,10000,68,0.0068,0.006800000000000002,0.029100000000000008
(Z)-1-fluoroprop-1-ene_LUCJ_L5_aug-cc-pVDZ_ML_exact.npz,(Z)-1-fluoroprop-1-ene,LUCJ,5,aug-cc-pVDZ,ML_exact,50,25,16,16,10000,73,0.0073,0.007300000000000002,0.029700000000000004
(Z)-1-fluoroprop-1-ene_LUCJ_L5_aug-cc-pVDZ_MP2.npz,(Z)-1-fluoroprop-1-ene,LUCJ,5,aug-cc-pVDZ,MP2,50,25,16,16,10000,76,0.0076,0.007600000000000003,0.027600000000000006
(Z)-1-fluoroprop-1-ene_LUCJ_L5_aug-cc-pVDZ_random.npz,(Z)-1-fluoroprop-1-ene,LUCJ,5,aug-cc-pVDZ,random,50,25,16,16,10000,82,0.0082,0.0082,0.029500000000000005
(Z)-1-fluoroprop-1-ene_LUCJ_L5_aug-cc-pVDZ_zeroes.npz,(Z)-1-fluoroprop-1-ene,LUCJ,5,aug-cc-pVDZ,zeroes,50,25,16,16,9997,110,0.01100330099029709,0.011,0.049500000000000016
(Z)-1-fluoroprop-1-ene_LUCJ_L5_cc-pVDZ_CCSD.npz,(Z)-1-fluoroprop-1-ene,LUCJ,5,cc-pVDZ,CCSD,50,25,16,16,10000,82,0.0082,0.0082,0.027300000000000005
(Z)-1-fluoroprop-1-ene_LUCJ_L5_cc-pVDZ_ML.npz,(Z)-1-fluoroprop-1-ene,LUCJ,5,cc-pVDZ,ML,50,25,16,16,10000,70,0.007,0.007000000000000003,0.031100000000000003
(Z)-1-fluoroprop-1-ene_LUCJ_L5_cc-pVDZ_ML_exact.npz,(Z)-1-fluoroprop-1-ene,LUCJ,5,cc-pVDZ,ML_exact,50,25,16,16,10000,61,0.0061,0.006100000000000002,0.030000000000000006
(Z)-1-fluoroprop-1-ene_LUCJ_L5_cc-pVDZ_MP2.npz,(Z)-1-fluoroprop-1-ene,LUCJ,5,cc-pVDZ,MP2,50,25,16,16,10000,75,0.0075,0.007500000000000002,0.028200000000000006
(Z)-1-fluoroprop-1-ene_LUCJ_L5_cc-pVDZ_random.npz,(Z)-1-fluoroprop-1-ene,LUCJ,5,cc-pVDZ,random,50,25,16,16,10000,80,0.008,0.008000000000000002,0.030000000000000006
(Z)-1-fluoroprop-1-ene_LUCJ_L5_cc-pVDZ_zeroes.npz,(Z)-1-fluoroprop-1-ene,LUCJ,5,cc-pVDZ,zeroes,50,25,16,16,10000,134,0.0134,0.013400000000000004,0.05710000000000001
ammonia_LUCJ_L1_STO-3G_CCSD.npz,ammonia,LUCJ,1,STO-3G,CCSD,16,8,5,5,3881,456,0.11749549085287297,0.2761,0.3899
ammonia_LUCJ_L1_STO-3G_ML.npz,ammonia,LUCJ,1,STO-3G,ML,16,8,5,5,2190,190,0.0867579908675799,0.3099,0.3805
ammonia_LUCJ_L1_STO-3G_ML_exact.npz,ammonia,LUCJ,1,STO-3G,ML_exact,16,8,5,5,2477,251,0.10133225676221236,0.23049999999999998,0.36430000000000007
ammonia_LUCJ_L1_STO-3G_MP2.npz,ammonia,LUCJ,1,STO-3G,MP2,16,8,5,5,2348,214,0.09114139693356048,0.27659999999999996,0.3888
ammonia_LUCJ_L1_STO-3G_random.npz,ammonia,LUCJ,1,STO-3G,random,16,8,5,5,6759,1189,0.1759135966859003,0.2652,0.4074000000000001
ammonia_LUCJ_L1_STO-3G_zeroes.npz,ammonia,LUCJ,1,STO-3G,zeroes,16,8,5,5,594,59,0.09932659932659933,0.45149999999999996,0.37629999999999997
ammonia_LUCJ_L1_aug-cc-pVDZ_CCSD.npz,ammonia,LUCJ,1,aug-cc-pVDZ,CCSD,16,8,5,5,2170,174,0.08018433179723503,0.35119999999999996,0.378
ammonia_LUCJ_L1_aug-cc-pVDZ_ML.npz,ammonia,LUCJ,1,aug-cc-pVDZ,ML,16,8,5,5,2269,173,0.07624504186866461,0.26869999999999994,0.41269999999999996
ammonia_LUCJ_L1_aug-cc-pVDZ_ML_exact.npz,ammonia,LUCJ,1,aug-cc-pVDZ,ML_exact,16,8,5,5,2255,179,0.07937915742793791,0.3581,0.3719
ammonia_LUCJ_L1_aug-cc-pVDZ_MP2.npz,ammonia,LUCJ,1,aug-cc-pVDZ,MP2,16,8,5,5,1955,167,0.08542199488491048,0.4060999999999999,0.3548
ammonia_LUCJ_L1_aug-cc-pVDZ_random.npz,ammonia,LUCJ,1,aug-cc-pVDZ,random,16,8,5,5,6483,1089,0.16797778806108282,0.25570000000000004,0.3904
ammonia_LUCJ_L1_aug-cc-pVDZ_zeroes.npz,ammonia,LUCJ,1,aug-cc-pVDZ,zeroes,16,8,5,5,689,66,0.09579100145137881,0.39069999999999994,0.4237999999999999
ammonia_LUCJ_L1_cc-pVDZ_CCSD.npz,ammonia,LUCJ,1,cc-pVDZ,CCSD,16,8,5,5,2227,205,0.09205208801077683,0.2715999999999999,0.39339999999999997
ammonia_LUCJ_L1_cc-pVDZ_ML.npz,ammonia,LUCJ,1,cc-pVDZ,ML,16,8,5,5,3720,351,0.09435483870967742,0.2102,0.3835
ammonia_LUCJ_L1_cc-pVDZ_ML_exact.npz,ammonia,LUCJ,1,cc-pVDZ,ML_exact,16,8,5,5,2242,193,0.08608385370205174,0.2773999999999999,0.3775
ammonia_LUCJ_L1_cc-pVDZ_MP2.npz,ammonia,LUCJ,1,cc-pVDZ,MP2,16,8,5,5,2616,257,0.09824159021406728,0.2594999999999999,0.4028
ammonia_LUCJ_L1_cc-pVDZ_random.npz,ammonia,LUCJ,1,cc-pVDZ,random,16,8,5,5,6858,1538,0.22426363371245261,0.3355,0.38860000000000006
ammonia_LUCJ_L1_cc-pVDZ_zeroes.npz,ammonia,LUCJ,1,cc-pVDZ,zeroes,16,8,5,5,616,57,0.09253246753246754,0.5252,0.30920000000000003
ammonia_LUCJ_L2_STO-3G_CCSD.npz,ammonia,LUCJ,2,STO-3G,CCSD,16,8,5,5,5650,506,0.0895575221238938,0.1396,0.3059
ammonia_LUCJ_L2_STO-3G_ML.npz,ammonia,LUCJ,2,STO-3G,ML,16,8,5,5,6535,752,0.11507268553940321,0.1358,0.3427
ammonia_LUCJ_L2_STO-3G_ML_exact.npz,ammonia,LUCJ,2,STO-3G,ML_exact,16,8,5,5,6934,685,0.0987885780213441,0.13130000000000003,0.31
ammonia_LUCJ_L2_STO-3G_MP2.npz,ammonia,LUCJ,2,STO-3G,MP2,16,8,5,5,5377,650,0.1208852519992561,0.222,0.36389999999999995
ammonia_LUCJ_L2_STO-3G_random.npz,ammonia,LUCJ,2,STO-3G,random,16,8,5,5,8394,1032,0.12294496068620443,0.14150000000000001,0.3320000000000001
ammonia_LUCJ_L2_STO-3G_zeroes.npz,ammonia,LUCJ,2,STO-3G,zeroes,16,8,5,5,555,57,0.10270270270270271,0.4759,0.361
ammonia_LUCJ_L2_aug-cc-pVDZ_CCSD.npz,ammonia,LUCJ,2,aug-cc-pVDZ,CCSD,16,8,5,5,4796,333,0.06943286071726439,0.15949999999999998,0.3496
ammonia_LUCJ_L2_aug-cc-pVDZ_ML.npz,ammonia,LUCJ,2,aug-cc-pVDZ,ML,16,8,5,5,4168,333,0.07989443378119002,0.1891,0.3753
ammonia_LUCJ_L2_aug-cc-pVDZ_ML_exact.npz,ammonia,LUCJ,2,aug-cc-pVDZ,ML_exact,16,8,5,5,4752,373,0.07849326599326599,0.17720000000000005,0.3406
ammonia_LUCJ_L2_aug-cc-pVDZ_MP2.npz,ammonia,LUCJ,2,aug-cc-pVDZ,MP2,16,8,5,5,3940,289,0.0733502538071066,0.20240000000000002,0.3809
ammonia_LUCJ_L2_aug-cc-pVDZ_random.npz,ammonia,LUCJ,2,aug-cc-pVDZ,random,16,8,5,5,8476,1202,0.14181217555450684,0.1664,0.3526
ammonia_LUCJ_L2_aug-cc-pVDZ_zeroes.npz,ammonia,LUCJ,2,aug-cc-pVDZ,zeroes,16,8,5,5,661,54,0.08169440242057488,0.3910999999999999,0.42069999999999996
ammonia_LUCJ_L2_cc-pVDZ_CCSD.npz,ammonia,LUCJ,2,cc-pVDZ,CCSD,16,8,5,5,5037,439,0.08715505261068096,0.1227,0.3548
ammonia_LUCJ_L2_cc-pVDZ_ML.npz,ammonia,LUCJ,2,cc-pVDZ,ML,16,8,5,5,6387,581,0.09096602473774855,0.1402,0.3338
