Name,L,Basis,Injection,Energy_NoRecovery,SubspaceDim_NoRecovery
(Z)-1-fluoroprop-1-ene,4,aug-cc-pVDZ,CCSD,-215.949689591666,15129
(Z)-1-fluoroprop-1-ene,4,aug-cc-pVDZ,ML,-215.9496895916703,25921
(Z)-1-fluoroprop-1-ene,4,aug-cc-pVDZ,ML_exact,-215.949689591666,15129
(Z)-1-fluoroprop-1-ene,4,aug-cc-pVDZ,MP2,-215.949689591666,14641
(Z)-1-fluoroprop-1-ene,4,aug-cc-pVDZ,random,-215.949689591666,18225
(Z)-1-fluoroprop-1-ene,4,aug-cc-pVDZ,zeroes,-215.9497136700582,47524
(Z)-1-fluoroprop-1-ene,4,cc-pVDZ,CCSD,-215.9369612161992,11449
(Z)-1-fluoroprop-1-ene,4,cc-pVDZ,ML,-215.9369612161992,23409
(Z)-1-fluoroprop-1-ene,4,cc-pVDZ,ML_exact,-215.9369613975373,10609
(Z)-1-fluoroprop-1-ene,4,cc-pVDZ,MP2,-215.9369612161992,25281
(Z)-1-fluoroprop-1-ene,4,cc-pVDZ,random,-215.9369612161992,13689
(Z)-1-fluoroprop-1-ene,4,cc-pVDZ,zeroes,-215.9379057101208,52900
(Z)-1-fluoroprop-1-ene,5,STO-3G,CCSD,-213.1164694409951,24649
(Z)-1-fluoroprop-1-ene,5,STO-3G,ML,-213.1164694409951,22201
(Z)-1-fluoroprop-1-ene,5,STO-3G,ML_exact,-213.1164694409951,17161
(Z)-1-fluoroprop-1-ene,5,STO-3G,MP2,-213.1164694409951,17161
(Z)-1-fluoroprop-1-ene,5,STO-3G,random,-213.1164694409951,13689
(Z)-1-fluoroprop-1-ene,5,STO-3G,zeroes,-213.1232286258177,56169
(Z)-1-fluoroprop-1-ene,5,aug-cc-pVDZ,CCSD,-215.949689591666,29929
(Z)-1-fluoroprop-1-ene,5,aug-cc-pVDZ,ML,-215.949689591666,18769
(Z)-1-fluoroprop-1-ene,5,aug-cc-pVDZ,ML_exact,-215.949689591666,21609
(Z)-1-fluoroprop-1-ene,5,aug-cc-pVDZ,MP2,-215.949689591666,23409
(Z)-1-fluoroprop-1-ene,5,aug-cc-pVDZ,random,-215.9496895916963,27225
(Z)-1-fluoroprop-1-ene,5,aug-cc-pVDZ,zeroes,-215.9497045497865,36864
(Z)-1-fluoroprop-1-ene,5,cc-pVDZ,CCSD,-215.9369612161992,27225
(Z)-1-fluoroprop-1-ene,5,cc-pVDZ,ML,-215.9369612161992,19881
(Z)-1-fluoroprop-1-ene,5,cc-pVDZ,ML_exact,-215.9369612161992,15129
(Z)-1-fluoroprop-1-ene,5,cc-pVDZ,MP2,-215.9369615652855,22801
(Z)-1-fluoroprop-1-ene,5,cc-pVDZ,random,-215.9369612161992,25921
(Z)-1-fluoroprop-1-ene,5,cc-pVDZ,zeroes,-215.9375384977977,60025
ammonia,1,STO-3G,CCSD,-55.51992752461344,2916
ammonia,1,STO-3G,ML,-55.51992913170212,2916
ammonia,1,STO-3G,ML_exact,-55.51987753704669,3025
ammonia,1,STO-3G,MP2,-55.51986858996757,2809
ammonia,1,STO-3G,random,-55.51992920362211,3136
ammonia,1,STO-3G,zeroes,-55.51885206956447,1296
ammonia,1,aug-cc-pVDZ,CCSD,-56.20530887836149,3025
ammonia,1,aug-cc-pVDZ,ML,-56.20530887837497,3025
ammonia,1,aug-cc-pVDZ,ML_exact,-56.20530886855523,2916
ammonia,1,aug-cc-pVDZ,MP2,-56.20530887841101,3025
ammonia,1,aug-cc-pVDZ,random,-56.20530887835702,3136
ammonia,1,aug-cc-pVDZ,zeroes,-56.20530346614235,1024
ammonia,1,cc-pVDZ,CCSD,-56.2067282938386,3136
ammonia,1,cc-pVDZ,ML,-56.20672829396808,3025
ammonia,1,cc-pVDZ,ML_exact,-56.2067282938386,3136
ammonia,1,cc-pVDZ,MP2,-56.20672829093609,3025
ammonia,1,cc-pVDZ,random,-56.2067282938386,3136
ammonia,1,cc-pVDZ,zeroes,-56.20622303498396,961
ammonia,2,STO-3G,CCSD,-55.51992920362211,3136
ammonia,2,STO-3G,ML,-55.51992920362211,3136
ammonia,2,STO-3G,ML_exact,-55.51992920362211,3136
ammonia,2,STO-3G,MP2,-55.51992920362211,3136
ammonia,2,STO-3G,random,-55.51992920362211,3136
ammonia,2,STO-3G,zeroes,-55.51779360337979,1089
ammonia,2,aug-cc-pVDZ,CCSD,-56.20530887835702,3136
ammonia,2,aug-cc-pVDZ,ML,-56.20530887835702,3136
ammonia,2,aug-cc-pVDZ,ML_exact,-56.20530887835702,3136
ammonia,2,aug-cc-pVDZ,MP2,-56.20530887835702,3136
ammonia,2,aug-cc-pVDZ,random,-56.20530887835702,3136
ammonia,2,aug-cc-pVDZ,zeroes,-56.20530772097472,1156
ammonia,2,cc-pVDZ,CCSD,-56.2067282938386,3136
ammonia,2,cc-pVDZ,ML,-56.2067282938386,3136
ammonia,2,cc-pVDZ,ML_exact,-56.2067282938386,3136
ammonia,2,cc-pVDZ,MP2,-56.2067282938386,3136
ammonia,2,cc-pVDZ,random,-56.2067282938386,3136
ammonia,2,cc-pVDZ,zeroes,-56.20629785453797,1024
ammonia,3,STO-3G,CCSD,-55.51992920362211,3136
ammonia,3,STO-3G,ML,-55.51992920362211,3136
ammonia,3,STO-3G,ML_exact,-55.51992920362211,3136
ammonia,3,STO-3G,MP2,-55.51992920362211,3136
ammonia,3,STO-3G,random,-55.51992920362211,3136
ammonia,3,STO-3G,zeroes,-55.51835528234114,1225
ammonia,3,aug-cc-pVDZ,CCSD,-56.20530887835702,3136
ammonia,3,aug-cc-pVDZ,ML,-56.20530887835702,3136
ammonia,3,aug-cc-pVDZ,ML_exact,-56.20530887835702,3136
ammonia,3,aug-cc-pVDZ,MP2,-56.20530887835702,3136
ammonia,3,aug-cc-pVDZ,random,-56.20530887835702,3136
ammonia,3,aug-cc-pVDZ,zeroes,-56.20530139785517,1156
ammonia,3,cc-pVDZ,CCSD,-56.2067282938386,3136
ammonia,3,cc-pVDZ,ML,-56.2067282938386,3136
ammonia,3,cc-pVDZ,ML_exact,-56.2067282938386,3136
ammonia,3,cc-pVDZ,MP2,-56.2067282938386,3136
ammonia,3,cc-pVDZ,random,-56.2067282938386,3136
ammonia,3,cc-pVDZ,zeroes,-56.2059035238153,1156
ammonia,4,STO-3G,CCSD,-55.51992920362211,3136
ammonia,4,STO-3G,ML,-55.51992920362211,3136
ammonia,4,STO-3G,ML_exact,-55.51992920362211,3136
ammonia,4,STO-3G,MP2,-55.51992920362211,3136
ammonia,4,STO-3G,random,-55.51992920362211,3136
ammonia,4,STO-3G,zeroes,-55.51828059723494,1156
ammonia,4,aug-cc-pVDZ,CCSD,-56.20530887835702,3136
ammonia,4,aug-cc-pVDZ,ML,-56.20530887835702,3136
ammonia,4,aug-cc-pVDZ,ML_exact,-56.20530887835702,3136
ammonia,4,aug-cc-pVDZ,MP2,-56.20530887835702,3136
ammonia,4,aug-cc-pVDZ,random,-56.20530887835702,3136
ammonia,4,aug-cc-pVDZ,zeroes,-56.20530884582055,1296
ammonia,4,cc-pVDZ,CCSD,-56.2067282938386,3136
